,Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,season
288,Montreal Canadiens*,84,48,30,6,102,0.607,326,280,0.49,-0.06,,,,,19921993
289,Buffalo Sabres*,84,38,36,10,86,0.512,335,297,0.41,-0.04,,,,,19921993
290,Hartford Whalers,84,26,52,6,58,0.345,284,369,-0.93,0.08,,,,,19921993
291,Ottawa Senators,84,10,70,4,24,0.14300000000000002,202,395,-2.1,0.2,,,,,19921993
292,Pittsburgh Penguins*,84,56,21,7,119,0.708,367,268,1.23,0.05,,,,,19921993
293,Washington Capitals*,84,43,34,7,93,0.5539999999999999,325,286,0.57,0.11,,,,,19921993
294,New York Islanders*,84,40,37,7,87,0.518,335,297,0.56,0.11,,,,,19921993
295,New Jersey Devils*,84,40,37,7,87,0.518,308,299,0.26,0.15,,,,,19921993
296,Philadelphia Flyers,84,36,37,11,83,0.494,319,319,0.2,0.2,,,,,19921993
297,New York Rangers,84,34,39,11,79,0.47,304,308,0.1,0.15,,,,,19921993
298,New York Rangers*,84,52,24,8,112,0.667,299,231,0.81,0.0,,,,,19931994
299,New Jersey Devils*,84,47,25,12,106,0.631,306,220,1.01,-0.02,,,,,19931994
300,Washington Capitals*,84,39,35,10,88,0.524,277,263,0.2,0.03,,,,,19931994
301,New York Islanders*,84,36,36,12,84,0.5,282,264,0.25,0.03,,,,,19931994
302,Florida Panthers,84,33,34,17,83,0.494,233,233,0.02,0.02,,,,,19931994
303,Philadelphia Flyers,84,35,39,10,80,0.47600000000000003,294,314,-0.19,0.05,,,,,19931994
304,Tampa Bay Lightning,84,30,43,11,71,0.423,224,251,-0.26,0.06,,,,,19931994
305,Pittsburgh Penguins*,84,44,27,13,101,0.601,299,285,0.17,0.0,,,,,19931994
306,Boston Bruins*,84,42,29,13,97,0.5770000000000001,289,252,0.41,-0.03,,,,,19931994
307,Montreal Canadiens*,84,41,29,14,96,0.5710000000000001,283,248,0.39,-0.03,,,,,19931994
308,Buffalo Sabres*,84,43,32,9,95,0.565,282,218,0.72,-0.04,,,,,19931994
309,Quebec Nordiques,84,34,42,8,76,0.452,277,292,-0.16,0.02,,,,,19931994
310,Hartford Whalers,84,27,48,9,63,0.375,227,288,-0.68,0.04,,,,,19931994
311,Ottawa Senators,84,14,61,9,37,0.22,201,397,-2.22,0.12,,,,,19931994
312,Detroit Red Wings*,84,46,30,8,100,0.595,356,275,0.89,-0.08,,,,,19931994
313,Toronto Maple Leafs*,84,43,29,12,98,0.583,280,243,0.41,-0.03,,,,,19931994
314,Dallas Stars*,84,42,29,13,97,0.5770000000000001,286,265,0.2,-0.05,,,,,19931994
315,St. Louis Blues*,84,40,33,11,91,0.542,270,283,-0.16,0.0,,,,,19931994
316,Chicago Blackhawks*,84,39,36,9,87,0.518,254,240,0.15,-0.02,,,,,19931994
317,Winnipeg Jets,84,24,51,9,57,0.33899999999999997,245,344,-1.13,0.05,,,,,19931994
318,Calgary Flames*,84,42,29,13,97,0.5770000000000001,302,256,0.48,-0.07,,,,,19931994
319,Vancouver Canucks*,84,41,40,3,85,0.506,279,276,0.01,-0.03,,,,,19931994
320,San Jose Sharks*,84,33,35,16,82,0.488,252,265,-0.17,-0.02,,,,,19931994
321,Mighty Ducks of Anaheim,84,33,46,5,71,0.423,229,251,-0.27,-0.01,,,,,19931994
322,Los Angeles Kings,84,27,45,12,66,0.39299999999999996,294,322,-0.34,-0.01,,,,,19931994
323,Edmonton Oilers,84,25,45,14,64,0.381,261,305,-0.52,0.0,,,,,19931994
324,hiladelphia Flyers*,48,28,16,4,60,0.625,150,132,0.36,-0.01,,,,,19941995
325,Washington Capitals*,48,22,18,8,52,0.542,136,120,0.33,-0.01,,,,,19941995
326,New Jersey Devils*,48,22,18,8,52,0.542,136,121,0.3,-0.01,,,,,19941995
327,New York Rangers*,48,22,23,3,47,0.49,139,134,0.1,-0.01,,,,,19941995
328,Florida Panthers,48,20,22,6,46,0.479,115,127,-0.26,-0.01,,,,,19941995
329,Tampa Bay Lightning,48,17,28,3,37,0.385,120,144,-0.49,0.01,,,,,19941995
330,New York Islanders,48,15,28,5,35,0.365,126,158,-0.63,0.04,,,,,19941995
331,Quebec Nordiques*,48,30,13,5,65,0.677,185,134,1.01,-0.06,,,,,19941995
332,Pittsburgh Penguins*,48,29,16,3,61,0.635,181,158,0.44,-0.04,,,,,19941995
333,Boston Bruins*,48,27,18,3,57,0.594,150,127,0.46,-0.02,,,,,19941995
334,Buffalo Sabres*,48,22,19,7,51,0.531,130,119,0.2,-0.03,,,,,19941995
335,Hartford Whalers,48,19,24,5,43,0.44799999999999995,127,141,-0.27,0.02,,,,,19941995
336,Montreal Canadiens,48,18,23,7,43,0.44799999999999995,125,148,-0.42,0.06,,,,,19941995
337,Ottawa Senators,48,9,34,5,23,0.24,117,174,-1.12,0.07,,,,,19941995
338,Detroit Red Wings*,48,33,11,4,70,0.7290000000000001,180,117,1.24,-0.08,,,,,19941995
339,St. Louis Blues*,48,28,15,5,61,0.635,178,135,0.84,-0.06,,,,,19941995
340,Chicago Blackhawks*,48,24,19,5,53,0.552,156,115,0.8,-0.05,,,,,19941995
341,Toronto Maple Leafs*,48,21,19,8,50,0.521,135,146,-0.19,0.04,,,,,19941995
342,Dallas Stars*,48,17,23,8,42,0.43799999999999994,136,135,0.07,0.05,,,,,19941995
343,Winnipeg Jets,48,16,25,7,39,0.406,157,177,-0.33,0.08,,,,,19941995
344,Calgary Flames*,48,24,17,7,55,0.573,163,135,0.49,-0.09,,,,,19941995
345,Vancouver Canucks*,48,18,18,12,48,0.5,153,148,0.06,-0.04,,,,,19941995
346,San Jose Sharks*,48,19,25,4,42,0.43799999999999994,129,161,-0.66,0.01,,,,,19941995
347,Los Angeles Kings,48,16,23,9,41,0.42700000000000005,142,174,-0.65,0.02,,,,,19941995
348,Edmonton Oilers,48,17,27,4,38,0.396,136,183,-0.92,0.06,,,,,19941995
349,Mighty Ducks of Anaheim,48,16,27,5,37,0.385,125,164,-0.77,0.05,,,,,19941995
350,Philadelphia Flyers*,82,45,24,13,103,0.628,282,208,0.88,-0.03,,,,,19951996
351,New York Rangers*,82,41,27,14,96,0.585,272,237,0.43,0.0,,,,,19951996
352,Florida Panthers*,82,41,31,10,92,0.561,254,234,0.27,0.02,,,,,19951996
353,Washington Capitals*,82,39,32,11,89,0.5429999999999999,234,204,0.38,0.02,,,,,19951996
354,Tampa Bay Lightning*,82,38,32,12,88,0.537,238,248,-0.07,0.05,,,,,19951996
355,New Jersey Devils,82,37,33,12,86,0.524,215,202,0.2,0.04,,,,,19951996
356,New York Islanders,82,22,50,10,54,0.32899999999999996,229,315,-0.94,0.11,,,,,19951996
357,Pittsburgh Penguins*,82,49,29,4,102,0.622,362,284,0.9,-0.05,,,,,19951996
358,Boston Bruins*,82,40,31,11,91,0.555,282,269,0.17,0.01,,,,,19951996
359,Montreal Canadiens*,82,40,32,10,90,0.5489999999999999,265,248,0.2,-0.01,,,,,19951996
360,Hartford Whalers,82,34,39,9,77,0.47,237,259,-0.22,0.05,,,,,19951996
361,Buffalo Sabres,82,33,42,7,73,0.445,247,262,-0.16,0.03,,,,,19951996
362,Ottawa Senators,82,18,59,5,41,0.25,191,291,-1.12,0.1,,,,,19951996
363,Detroit Red Wings*,82,62,13,7,131,0.799,325,181,1.64,-0.11,,,,,19951996
364,Chicago Blackhawks*,82,40,28,14,94,0.573,273,220,0.61,-0.04,,,,,19951996
365,Toronto Maple Leafs*,82,34,36,12,80,0.488,247,252,-0.07,0.0,,,,,19951996
366,St. Louis Blues*,82,32,34,16,80,0.488,219,248,-0.35,0.0,,,,,19951996
367,Winnipeg Jets*,82,36,40,6,78,0.47600000000000003,275,291,-0.18,0.02,,,,,19951996
368,Dallas Stars,82,26,42,14,66,0.402,227,280,-0.6,0.05,,,,,19951996
369,Colorado Avalanche*,82,47,25,10,104,0.634,326,240,0.93,-0.12,,,,,19951996
370,Calgary Flames*,82,34,37,11,79,0.48200000000000004,241,240,-0.04,-0.05,,,,,19951996
371,Vancouver Canucks*,82,32,35,15,79,0.48200000000000004,278,278,-0.05,-0.05,,,,,19951996
372,Mighty Ducks of Anaheim,82,35,39,8,78,0.47600000000000003,234,247,-0.19,-0.03,,,,,19951996
373,Edmonton Oilers,82,30,44,8,68,0.415,240,304,-0.78,0.0,,,,,19951996
374,Los Angeles Kings,82,24,40,18,66,0.402,256,302,-0.59,-0.03,,,,,19951996
375,San Jose Sharks,82,20,55,7,47,0.287,252,357,-1.25,0.03,,,,,19951996
376,New Jersey Devils*,82,45,23,14,104,0.634,231,182,0.57,-0.03,,,,,19961997
377,Philadelphia Flyers*,82,45,24,13,103,0.628,274,217,0.67,-0.03,,,,,19961997
378,Florida Panthers*,82,35,28,19,89,0.5429999999999999,221,201,0.25,0.0,,,,,19961997
379,New York Rangers*,82,38,34,10,86,0.524,258,231,0.33,0.01,,,,,19961997
380,Washington Capitals,82,33,40,9,75,0.457,214,231,-0.17,0.04,,,,,19961997
381,Tampa Bay Lightning,82,32,40,10,74,0.451,217,247,-0.33,0.04,,,,,19961997
382,New York Islanders,82,29,41,12,70,0.42700000000000005,240,250,-0.1,0.02,,,,,19961997
383,Buffalo Sabres*,82,40,30,12,92,0.561,237,208,0.31,-0.04,,,,,19961997
384,Pittsburgh Penguins*,82,38,36,8,84,0.512,285,280,0.04,-0.02,,,,,19961997
385,Ottawa Senators*,82,31,36,15,77,0.47,226,234,-0.11,-0.02,,,,,19961997
386,Montreal Canadiens*,82,31,36,15,77,0.47,249,276,-0.34,-0.01,,,,,19961997
387,Hartford Whalers,82,32,39,11,75,0.457,226,256,-0.37,0.0,,,,,19961997
388,Boston Bruins,82,26,47,9,61,0.37200000000000005,234,300,-0.78,0.02,,,,,19961997
389,Dallas Stars*,82,48,26,8,104,0.634,252,198,0.64,-0.02,,,,,19961997
390,Detroit Red Wings*,82,38,26,18,94,0.573,253,197,0.66,-0.03,,,,,19961997
391,Phoenix Coyotes*,82,38,37,7,83,0.506,240,243,-0.02,0.02,,,,,19961997
392,St. Louis Blues*,82,36,35,11,83,0.506,236,239,-0.03,0.01,,,,,19961997
393,Chicago Blackhawks*,82,34,35,13,81,0.494,223,210,0.18,0.02,,,,,19961997
394,Toronto Maple Leafs,82,30,44,8,68,0.415,230,273,-0.48,0.05,,,,,19961997
395,Colorado Avalanche*,82,49,24,9,107,0.652,277,205,0.81,-0.07,,,,,19961997
396,Mighty Ducks of Anaheim*,82,36,33,13,85,0.518,245,233,0.12,-0.03,,,,,19961997
397,Edmonton Oilers*,82,36,37,9,81,0.494,252,247,0.03,-0.03,,,,,19961997
398,Vancouver Canucks,82,35,40,7,77,0.47,257,273,-0.2,-0.01,,,,,19961997
399,Calgary Flames,82,32,41,9,73,0.445,214,239,-0.29,0.02,,,,,19961997
400,Los Angeles Kings,82,28,43,11,67,0.409,214,268,-0.62,0.04,,,,,19961997
401,San Jose Sharks,82,27,47,8,62,0.37799999999999995,211,278,-0.78,0.03,,,,,19961997
402,New Jersey Devils*,82,48,23,11,107,0.652,225,166,0.66,-0.06,,,,,19971998
403,Philadelphia Flyers*,82,42,29,11,95,0.579,242,193,0.53,-0.07,,,,,19971998
404,Washington Capitals*,82,40,30,12,92,0.561,219,202,0.17,-0.04,,,,,19971998
405,New York Islanders,82,30,41,11,71,0.433,212,225,-0.15,0.0,,,,,19971998
406,New York Rangers,82,25,39,18,68,0.415,197,231,-0.41,0.0,,,,,19971998
407,Florida Panthers,82,24,43,15,63,0.384,203,256,-0.62,0.03,,,,,19971998
408,Tampa Bay Lightning,82,17,55,10,44,0.268,151,269,-1.37,0.07,,,,,19971998
409,Pittsburgh Penguins*,82,40,24,18,98,0.598,228,188,0.48,-0.01,,,,,19971998
410,Boston Bruins*,82,39,30,13,91,0.555,221,194,0.33,0.0,,,,,19971998
411,Buffalo Sabres*,82,36,29,17,89,0.5429999999999999,211,187,0.29,0.0,,,,,19971998
412,Montreal Canadiens*,82,37,32,13,87,0.53,235,208,0.33,0.0,,,,,19971998
413,Ottawa Senators*,82,34,33,15,83,0.506,193,200,-0.06,0.02,,,,,19971998
414,Carolina Hurricanes,82,33,41,8,74,0.451,200,219,-0.2,0.04,,,,,19971998
415,Dallas Stars*,82,49,22,11,109,0.665,242,167,0.88,-0.03,,,,,19971998
416,Detroit Red Wings*,82,44,23,15,103,0.628,250,196,0.64,-0.02,,,,,19971998
417,St. Louis Blues*,82,45,29,8,98,0.598,256,204,0.63,0.0,,,,,19971998
418,Phoenix Coyotes*,82,35,35,12,82,0.5,224,227,0.0,0.04,,,,,19971998
419,Chicago Blackhawks,82,30,39,13,73,0.445,192,199,-0.06,0.03,,,,,19971998
420,Toronto Maple Leafs,82,30,43,9,69,0.42100000000000004,194,237,-0.46,0.07,,,,,19971998
